Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Spain,Tunisia,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,21:00,19,6,2006,3,1,
Ecuador,Germany,Group Phase,Olympiastadion,Berlin,16:00,20,6,2006,0,3,
Costa Rica,Poland,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,16:00,20,6,2006,1,2,
Sweden,England,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,21:00,20,6,2006,2,2,
Paraguay,Trinidad and Tobago,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,21:00,20,6,2006,2,0,
IR Iran,Angola,Group Phase,Zentralstadion,Leipzig,16:00,21,6,2006,1,1,
Portugal,Mexico,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,16:00,21,6,2006,2,1,
Netherlands,Argentina,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,21:00,21,6,2006,0,0,
Côte d'Ivoire,Serbia and Montenegro,Group Phase,"FIFA World Cup Stadium, Munich",Munich,21:00,21,6,2006,3,2,
Czech Republic,Italy,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,16:00,22,6,2006,0,2,
Ghana,USA,Group Phase,Franken-Stadion,Nuremberg,16:00,22,6,2006,2,1,
Japan,Brazil,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,21:00,22,6,2006,1,4,
Croatia,Australia,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,21:00,22,6,2006,2,2,
Ukraine,Tunisia,Group Phase,Olympiastadion,Berlin,16:00,23,6,2006,1,0,
Saudi Arabia,Spain,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,16:00,23,6,2006,0,1,
Togo,France,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,21:00,23,6,2006,0,2,
Switzerland,Korea Republic,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,21:00,23,6,2006,2,0,
Germany,Sweden,Round of 16,"FIFA World Cup Stadium, Munich",Munich,17:00,24,6,2006,2,0,
Argentina,Mexico,Round of 16,Zentralstadion,Leipzig,21:00,24,6,2006,2,1,Argentina win after extra time
England,Ecuador,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart,17:00,25,6,2006,1,0,
Portugal,Netherlands,Round of 16,Franken-Stadion,Nuremberg,21:00,25,6,2006,1,0,
Italy,Australia,Round of 16,Fritz-Walter-Stadion,Kaiserslautern,17:00,26,6,2006,1,0,
Switzerland,Ukraine,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne,21:00,26,6,2006,0,0,Ukraine win on penalties (0 - 3)
Brazil,Ghana,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund,17:00,27,6,2006,3,0,
Spain,France,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover,21:00,27,6,2006,1,3,
Germany,Argentina,Quarter Finals,Olympiastadion,Berlin,17:00,30,6,2006,1,1,Germany win on penalties (4 - 2)
Italy,Ukraine,Quarter Finals,"FIFA World Cup Stadium, Hamburg",Hamburg,21:00,30,6,2006,3,0,
England,Portugal,Quarter Finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,17:00,1,7,2006,0,0,Portugal win on penalties (1 - 3)
Brazil,France,Quarter Finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,21:00,1,7,2006,0,1,
Germany,Italy,Semi Finals,"FIFA World Cup Stadium, Dortmund",Dortmund,21:00,4,7,2006,0,2,Italy win after extra time
Portugal,France,Semi Finals,"FIFA World Cup Stadium, Munich",Munich,21:00,5,7,2006,0,1,
Germany,Portugal,Play-off for third place,Gottlieb-Daimler-Stadion,Stuttgart,21:00,8,7,2006,3,1,
Italy,France,Finals,Olympiastadion,Berlin,20:00,9,7,2006,1,1,Italy win on penalties (5 - 3)
France,Senegal,Group Phase,Seoul World Cup Stadium,Seoul,20:30,31,5,2002,0,1,
Uruguay,Denmark,Group Phase,Munsu Football Stadium,Ulsan,18:00,1,6,2002,1,2,
Republic of Ireland,Cameroon,Group Phase,Niigata Stadium Big Swan,Niigata,15:30,1,6,2002,1,1,
Germany,Saudi Arabia,Group Phase,Sapporo Dome,Sapporo,20:30,1,6,2002,8,0,
Argentina,Nigeria,Group Phase,Kashima Stadium,Ibaraki,14:30,2,6,2002,1,0,
Paraguay,South Africa,Group Phase,Busan Asiad Main Stadium,Busan,16:30,2,6,2002,2,2,
England,Sweden,Group Phase,Saitama Stadium 2002,Saitama,18:30,2,6,2002,1,1,
Spain,Slovenia,Group Phase,Gwangju World Cup Stadium,Gwangju,20:30,2,6,2002,3,1,
Brazil,Turkey,Group Phase,Munsu Football Stadium,Ulsan,18:00,3,6,2002,2,1,
Italy,Ecuador,Group Phase,Sapporo Dome,Sapporo,20:30,3,6,2002,2,0,
Croatia,Mexico,Group Phase,Denka Big Swan Stadium,Niigata,15:30,3,6,2002,0,1,
China PR,Costa Rica,Group Phase,Gwangju World Cup Stadium,Gwangju,15:30,4,6,2002,0,2,
Japan,Belgium,Group Phase,Saitama Stadium 2002,Saitama,18:00,4,6,2002,2,2,
Korea Republic,Poland,Group Phase,Busan Asiad Main Stadium,Busan,20:30,4,6,2002,2,0,
Russia,Tunisia,Group Phase,Kobe Wing Stadium,Kobe,15:30,5,6,2002,2,0,
USA,Portugal,Group Phase,Suwon World Cup Stadium,Suwon,18:00,5,6,2002,3,2,
Germany,Republic of Ireland,Group Phase,Kashima Stadium,Ibaraki,20:30,5,6,2002,1,1,
Denmark,Senegal,Group Phase,Daegu World Cup Stadium,Daegu,15:30,6,6,2002,1,1,
Cameroon,Saudi Arabia,Group Phase,Saitama Stadium 2002,Saitama,18:00,6,6,2002,1,0,
France,Uruguay,Group Phase,Busan Asiad Main Stadium,Busan,20:30,6,6,2002,0,0,
Sweden,Nigeria,Group Phase,Kobe Wing Stadium,Kobe,15:30,7,6,2002,2,1,
Argentina,England,Group Phase,Sapporo Dome,Sapporo,20:30,7,6,2002,0,1,
Spain,Paraguay,Group Phase,Jeonju World Cup Stadium,Jeonju,18:00,7,6,2002,3,1,
South Africa,Slovenia,Group Phase,Daegu World Cup Stadium,Daegu,15:30,8,6,2002,1,0,
Brazil,China PR,Group Phase,Jeju World Cup Stadium,Jeju,20:30,8,6,2002,4,0,
Italy,Croatia,Group Phase,Kashima Stadium,Ibaraki,18:00,8,6,2002,1,2,
Costa Rica,Turkey,Group Phase,Incheon Football Stadium,Incheon,18:00,9,6,2002,1,1,
Japan,Russia,Group Phase,International Stadium Yokohama,Yokohama,20:30,9,6,2002,1,0,
